experiment_0,experiment_1,experiment_2,experiment_3,experiment_4,experiment_5,experiment_6,experiment_7,experiment_8,experiment_9
132,236,160,134,200,116,282,202,122,422
106,350,122,196,150,136,130,94,128,222
110,252,122,200,164,156,194,248,140,308
128,234,132,298,200,98,246,130,118,294
142,316,152,262,152,158,250,230,118,202
180,252,154,114,128,122,398,198,122,172
86,276,176,186,216,240,240,174,198,156
148,200,148,138,268,164,224,212,206,200
154,216,128,248,242,212,182,114,124,392
116,152,110,174,124,224,236,180,116,168
78,222,136,498,116,98,106,164,110,320
324,242,104,92,242,106,120,186,126,208
174,146,112,306,94,108,264,182,192,278
134,170,100,130,220,198,234,134,124,126
184,418,112,214,238,132,130,104,148,164
148,226,92,192,628,106,138,180,152,268
88,260,128,252,98,114,156,144,134,156
170,326,140,196,302,138,268,174,120,146
128,286,92,180,354,100,178,110,154,290
114,306,180,186,200,98,176,184,154,252
202,330,148,222,120,202,266,162,94,270
208,210,152,222,490,184,166,148,102,252
204,148,198,186,192,144,242,148,140,124
128,180,86,192,584,96,270,118,170,360
138,300,86,124,156,94,258,174,160,254
110,142,100,118,398,132,200,294,146,560
128,264,98,120,742,176,148,144,114,108
138,186,142,128,346,98,364,164,94,262
136,244,72,208,532,128,170,140,128,222
122,254,102,138,138,240,170,128,152,124
114,258,184,192,288,134,168,174,118,160
140,380,148,150,262,138,108,144,84,202
128,278,128,148,170,80,214,236,154,170
94,286,90,166,588,164,102,110,90,224
124,324,114,144,176,168,120,268,120,252
132,482,148,140,130,218,274,152,148,252
118,334,90,166,278,162,324,130,202,126
142,250,94,98,534,136,294,164,132,358
110,286,128,114,156,126,272,158,148,342
162,154,218,180,274,154,156,118,120,230
104,368,128,146,136,132,386,152,88,512
166,450,110,204,112,240,320,198,164,138
180,328,124,84,196,220,182,182,128,152
224,216,108,170,146,176,376,92,170,246
232,186,104,142,246,176,434,150,146,158
154,458,102,188,194,136,156,134,116,168
176,180,126,234,294,206,300,196,120,180
192,254,68,118,118,142,266,138,140,134
152,258,106,140,146,170,358,150,102,244
142,360,116,172,218,356,258,118,96,260
138,172,140,232,212,118,206,338,168,110
122,230,94,206,120,176,260,170,142,178
138,178,86,178,182,106,476,122,100,220
110,278,128,136,128,136,152,158,124,152
166,334,166,148,130,220,114,148,144,364
154,136,98,172,114,230,112,132,102,272
166,316,92,180,188,82,336,128,140,134
116,274,128,146,172,138,308,110,112,254
142,348,114,90,442,122,266,96,98,390
120,334,118,224,166,128,212,232,176,188
184,284,106,224,134,114,272,102,134,192
170,232,128,86,216,194,166,164,162,296
144,206,80,130,160,144,310,78,150,300
160,134,120,122,646,172,136,118,128,140
304,244,152,164,336,282,232,136,114,138
124,114,96,160,294,130,618,150,142,164
170,160,124,196,516,136,254,132,136,190
184,444,96,168,956,150,270,170,122,666
156,294,182,66,204,130,256,132,110,122
128,118,114,254,366,284,270,108,138,392
146,160,114,174,330,194,350,170,100,460
130,292,150,118,274,104,352,140,106,214
228,310,126,126,318,128,508,100,174,102
166,288,100,182,114,116,242,114,136,202
164,276,98,172,182,116,278,210,102,166
126,128,116,134,178,98,608,226,102,190
206,270,108,146,530,176,288,114,138,248
144,494,182,170,366,90,518,138,76,156
124,238,96,200,100,112,216,216,162,246
134,208,100,140,142,148,156,114,108,168
136,266,130,186,220,146,652,116,96,124
150,406,132,154,254,110,154,146,122,138
150,240,140,134,226,130,270,108,102,166
136,308,138,186,116,126,240,132,88,146
100,178,114,180,134,184,376,194,98,324
178,152,118,122,140,108,150,120,90,206
106,318,114,76,188,190,152,124,110,240
144,218,70,150,278,108,254,172,116,172
162,204,124,112,428,114,184,180,82,376
130,326,86,142,182,164,158,230,108,232
170,272,92,124,162,144,278,186,80,192
194,300,110,108,226,142,292,122,158,188
100,228,98,110,208,172,186,156,136,308
132,306,122,112,178,160,284,140,112,258
150,346,106,146,160,126,176,158,188,378
116,238,100,122,334,142,146,236,108,494
150,338,126,182,142,86,238,162,120,158
152,260,84,168,160,178,236,146,132,242
98,210,124,290,138,128,136,216,156,230
124,192,186,92,230,106,184,126,216,378
110,346,74,164,380,154,114,262,84,166
114,192,102,168,200,136,780,122,136,172
102,292,92,130,148,142,156,166,112,190
134,284,128,100,338,148,298,218,130,390
182,182,106,154,92,134,162,82,116,188
98,134,158,114,110,192,186,164,130,152
134,130,122,94,174,146,218,182,112,210
120,446,86,128,292,110,222,198,134,230
140,392,104,122,174,156,248,142,106,98
126,724,120,138,374,122,114,172,74,192
82,666,114,170,874,150,326,122,144,246
104,346,100,114,164,130,352,196,72,164
156,690,116,188,284,98,208,188,154,252
178,180,136,112,168,180,150,132,130,116
98,240,82,168,130,100,150,268,134,126
142,238,116,130,148,126,224,140,116,282
226,154,106,138,148,142,122,126,96,206
104,446,112,110,182,138,170,156,156,148
132,280,98,138,184,132,198,212,116,194
118,220,108,158,142,114,166,112,82,214
178,250,82,118,198,96,148,110,100,158
166,208,108,184,300,166,212,132,112,142
176,154,94,122,134,152,216,204,146,122
114,172,110,188,180,96,214,112,126,172
168,332,114,104,146,98,270,154,114,138
84,142,134,92,220,116,334,218,88,150
140,108,90,150,170,116,502,158,138,180
166,226,80,174,110,108,376,114,114,182
190,196,114,98,160,128,132,200,130,116
122,258,134,124,292,148,320,122,82,178
98,354,92,100,122,138,272,170,138,238
92,166,112,180,176,130,96,122,100,80
136,184,120,118,158,96,184,120,118,168
